Line09_DD_10m.bin
        10.00
11
0
Type of measurement (0=app. resistivity,1=resistance)
1
6915
 2
0
4  420.00  0.00 480.00  0.00 120.00  0.00 180.00  0.00 -0.02381 
4  420.00  0.00 480.00  0.00 180.00  0.00 240.00  0.00 -0.06188 
4  420.00  0.00 480.00  0.00 240.00  0.00 300.00  0.00 -0.16721 
4  420.00  0.00 480.00  0.00 300.00  0.00 360.00  0.00 -0.41012 
4  440.00  0.00 480.00  0.00 80.00  0.00 120.00  0.00 -0.00455 
4  440.00  0.00 480.00  0.00 120.00  0.00 160.00  0.00 -0.00755 
4  440.00  0.00 480.00  0.00 160.00  0.00 200.00  0.00 -0.01296 
4  440.00  0.00 480.00  0.00 200.00  0.00 240.00  0.00 -0.02575 
4  440.00  0.00 480.00  0.00 240.00  0.00 280.00  0.00 -0.05009 
4  440.00  0.00 480.00  0.00 280.00  0.00 320.00  0.00 -0.09154 
4  440.00  0.00 480.00  0.00 320.00  0.00 360.00  0.00 -0.14594 
4  440.00  0.00 480.00  0.00 360.00  0.00 400.00  0.00 -0.30718 
4  460.00  0.00 480.00  0.00 280.00  0.00 300.00  0.00 -0.01567 
4  460.00  0.00 480.00  0.00 300.00  0.00 320.00  0.00 -0.02114 
4  460.00  0.00 480.00  0.00 320.00  0.00 340.00  0.00 -0.02640 
4  460.00  0.00 480.00  0.00 340.00  0.00 360.00  0.00 -0.02920 
4  460.00  0.00 480.00  0.00 360.00  0.00 380.00  0.00 -0.03599 
4  460.00  0.00 480.00  0.00 380.00  0.00 400.00  0.00 -0.05447 
4  460.00  0.00 480.00  0.00 400.00  0.00 420.00  0.00 -0.16004 
4  460.00  0.00 480.00  0.00 420.00  0.00 440.00  0.00 -0.72872 
4  360.00  0.00 460.00  0.00 60.00  0.00 160.00  0.00 -0.08505 
4  360.00  0.00 460.00  0.00 160.00  0.00 260.00  0.00 -0.40919 
4  380.00  0.00 460.00  0.00 60.00  0.00 140.00  0.00 -0.03567 
4  380.00  0.00 460.00  0.00 140.00  0.00 220.00  0.00 -0.11615 
4  380.00  0.00 460.00  0.00 220.00  0.00 300.00  0.00 -0.46744 
4  400.00  0.00 460.00  0.00 40.00  0.00 100.00  0.00 -0.01206 
4  400.00  0.00 460.00  0.00 100.00  0.00 160.00  0.00 -0.02516 
4  400.00  0.00 460.00  0.00 160.00  0.00 220.00  0.00 -0.06174 
4  400.00  0.00 460.00  0.00 220.00  0.00 280.00  0.00 -0.17321 
4  400.00  0.00 460.00  0.00 280.00  0.00 340.00  0.00 -0.48898 
4  420.00  0.00 460.00  0.00 60.00  0.00 100.00  0.00 -0.00505 
4  420.00  0.00 460.00  0.00 100.00  0.00 140.00  0.00 -0.00776 
4  420.00  0.00 460.00  0.00 140.00  0.00 180.00  0.00 -0.01406 
4  420.00  0.00 460.00  0.00 180.00  0.00 220.00  0.00 -0.02670 
4  420.00  0.00 460.00  0.00 220.00  0.00 260.00  0.00 -0.05082 
4  420.00  0.00 460.00  0.00 260.00  0.00 300.00  0.00 -0.10183 
4  420.00  0.00 460.00  0.00 300.00  0.00 340.00  0.00 -0.19136 
4  420.00  0.00 460.00  0.00 340.00  0.00 380.00  0.00 -0.39216 
4  440.00  0.00 460.00  0.00 260.00  0.00 280.00  0.00 -0.01762 
4  440.00  0.00 460.00  0.00 280.00  0.00 300.00  0.00 -0.02291 
