Project15	Dipole-Dipole_1								
5									
11									
3									
Type	of	measurement	"(0=app.resistivity,1=resistance)"						
4	250	0	220	0	100	0	130	0	0.0500445
4	220	0	210	0	140	0	150	0	0.0501108
4	100	0	90	0	0	0	10	0	0.0501494
4	180	0	170	0	80	0	90	0	0.0504704
4	190	0	170	0	10	0	30	0	0.0508466
4	250	0	220	0	100	0	130	0	0.0508951
4	220	0	200	0	80	0	100	0	0.0510337
4	100	0	90	0	0	0	10	0	0.0511012
4	130	0	120	0	30	0	40	0	0.0511217
4	130	0	120	0	30	0	40	0	0.0512919
4	220	0	210	0	140	0	150	0	0.0514393
4	190	0	170	0	10	0	30	0	0.051911
4	230	0	210	0	110	0	130	0	0.0522919
4	320	0	300	0	220	0	240	0	0.052314
4	300	0	270	0	150	0	180	0	0.0523945
4	230	0	210	0	110	0	130	0	0.0531367
4	180	0	160	0	0	0	20	0	0.0531674
4	245	0	240	0	200	0	205	0	0.0533729
4	180	0	160	0	0	0	20	0	0.0536868
4	250	0	210	0	50	0	90	0	0.0538759
4	250	0	210	0	50	0	90	0	0.0540349
4	240	0	230	0	170	0	180	0	0.0540708
4	110	0	100	0	10	0	20	0	0.054232
4	240	0	230	0	170	0	180	0	0.0544723
4	270	0	260	0	210	0	220	0	0.0546999
4	340	0	330	0	260	0	270	0	0.0547889
4	220	0	200	0	80	0	100	0	0.0551735
4	290	0	240	0	90	0	140	0	0.0552179
4	110	0	100	0	10	0	20	0	0.0555159
4	290	0	240	0	90	0	140	0	0.0557641
4	260	0	250	0	200	0	210	0	0.0558938
4	290	0	280	0	230	0	240	0	0.0559691
4	140	0	130	0	40	0	50	0	0.0560183
4	280	0	230	0	80	0	130	0	0.0560468
4	140	0	130	0	40	0	50	0	0.0564009
4	400	0	380	0	260	0	280	0	0.0564075
4	280	0	230	0	80	0	130	0	0.0566398
4	290	0	280	0	230	0	240	0	0.0566572
4	300	0	250	0	100	0	150	0	0.0566857
4	380	0	370	0	280	0	290	0	0.0568051
4	250	0	245	0	210	0	215	0	0.0568233
4	295	0	290	0	250	0	255	0	0.0578778
4	280	0	260	0	180	0	200	0	0.0579078
4	105	0	100	0	55	0	60	0	0.0579435
4	300	0	250	0	100	0	150	0	0.057966
4	260	0	250	0	200	0	210	0	0.0580037
4	150	0	140	0	50	0	60	0	0.0583828
4	150	0	140	0	50	0	60	0	0.0584357
4	170	0	160	0	70	0	80	0	0.058544
4	160	0	150	0	60	0	70	0	0.058728
4	370	0	350	0	250	0	270	0	0.058843
4	160	0	150	0	60	0	70	0	0.0589194
4	200	0	195	0	150	0	155	0	0.0590331
4	170	0	160	0	70	0	80	0	0.0590519
4	190	0	180	0	100	0	110	0	0.0593542
4	320	0	310	0	250	0	260	0	0.0593577
4	230	0	200	0	50	0	80	0	0.0599437
4	260	0	240	0	160	0	180	0	0.05997
4	190	0	180	0	100	0	110	0	0.0600578
4	230	0	200	0	50	0	80	0	0.0602252
4	270	0	250	0	170	0	190	0	0.060654
4	200	0	180	0	40	0	60	0	0.0607034
4	200	0	180	0	40	0	60	0	0.0611177
4	270	0	250	0	170	0	190	0	0.0612367
4	130	0	125	0	80	0	85	0	0.0612748
4	260	0	240	0	160	0	180	0	0.0614363
4	200	0	195	0	150	0	155	0	0.0616857
4	265	0	260	0	225	0	230	0	0.0617949
4	130	0	125	0	80	0	85	0	0.0619519
4	135	0	130	0	85	0	90	0	0.0621288
4	245	0	240	0	205	0	210	0	0.0622649
4	60	0	55	0	10	0	15	0	0.0623679
4	330	0	310	0	230	0	250	0	0.0624464
4	60	0	55	0	10	0	15	0	0.0625308
4	135	0	130	0	85	0	90	0	0.0626954
4	230	0	220	0	160	0	170	0	0.0631619
4	180	0	170	0	90	0	100	0	0.0632361
4	210	0	180	0	0	0	30	0	0.063565
4	230	0	220	0	160	0	170	0	0.0637693
4	240	0	210	0	90	0	120	0	0.0638089
4	140	0	135	0	90	0	95	0	0.0639344
4	210	0	180	0	0	0	30	0	0.0639739
4	70	0	65	0	20	0	25	0	0.0643277
4	180	0	170	0	90	0	100	0	0.0645166
4	140	0	135	0	90	0	95	0	0.0648014
4	240	0	210	0	90	0	120	0	0.0648251
4	250	0	200	0	0	0	50	0	0.0650454
4	70	0	65	0	20	0	25	0	0.0651151
4	125	0	120	0	75	0	80	0	0.0652467
4	250	0	200	0	0	0	50	0	0.0655655
4	315	0	310	0	265	0	270	0	0.0658513
4	125	0	120	0	75	0	80	0	0.0660143
4	115	0	110	0	65	0	70	0	0.0662164
4	210	0	190	0	70	0	90	0	0.0663271
4	250	0	240	0	190	0	200	0	0.0663813
4	145	0	140	0	95	0	100	0	0.0663891
4	250	0	240	0	190	0	200	0	0.066456
4	210	0	190	0	70	0	90	0	0.0665186
4	115	0	110	0	65	0	70	0	0.0667001
4	270	0	220	0	70	0	120	0	0.0667972
4	145	0	140	0	95	0	100	0	0.067568
4	130	0	120	0	40	0	50	0	0.0677647
4	55	0	50	0	5	0	10	0	0.067866
4	130	0	120	0	40	0	50	0	0.0680075
4	310	0	300	0	220	0	230	0	0.0680089
4	55	0	50	0	5	0	10	0	0.0680247
4	300	0	290	0	240	0	250	0	0.0681921
4	170	0	160	0	80	0	90	0	0.0681939
4	170	0	160	0	80	0	90	0	0.0682184
4	295	0	290	0	255	0	260	0	0.0683473
4	50	0	45	0	0	0	5	0	0.069313
4	50	0	45	0	0	0	5	0	0.0694834
4	270	0	220	0	70	0	120	0	0.0696572
4	325	0	320	0	275	0	280	0	0.0697756
4	120	0	110	0	30	0	40	0	0.069869
4	120	0	110	0	30	0	40	0	0.0701801
4	360	0	320	0	200	0	240	0	0.0702267
4	120	0	115	0	70	0	75	0	0.0706956
4	110	0	100	0	20	0	30	0	0.0708952
4	300	0	290	0	240	0	250	0	0.0709625
4	280	0	240	0	120	0	160	0	0.0711114
4	110	0	105	0	60	0	65	0	0.0712355
4	110	0	105	0	60	0	65	0	0.0714143
4	280	0	240	0	120	0	160	0	0.0714673
4	120	0	115	0	70	0	75	0	0.071826
4	110	0	100	0	20	0	30	0	0.0720702
4	140	0	130	0	50	0	60	0	0.0721668
4	320	0	315	0	270	0	275	0	0.0721702
4	150	0	140	0	60	0	70	0	0.0722514
4	390	0	380	0	290	0	300	0	0.0722879
4	100	0	90	0	10	0	20	0	0.0724827
4	140	0	130	0	50	0	60	0	0.0728589
4	150	0	140	0	60	0	70	0	0.0729403
4	100	0	90	0	10	0	20	0	0.0731151
4	150	0	145	0	100	0	105	0	0.0734646
4	150	0	145	0	100	0	105	0	0.0736245
4	300	0	270	0	180	0	210	0	0.0737325
4	250	0	230	0	150	0	170	0	0.0739421
4	90	0	80	0	0	0	10	0	0.0745412
4	65	0	60	0	15	0	20	0	0.0746714
4	320	0	290	0	200	0	230	0	0.0748992
4	290	0	250	0	130	0	170	0	0.0750246
4	250	0	230	0	150	0	170	0	0.0750563
4	90	0	80	0	0	0	10	0	0.0751673
4	300	0	270	0	180	0	210	0	0.0758064
4	290	0	250	0	130	0	170	0	0.0760203
4	190	0	170	0	30	0	50	0	0.0761376
4	190	0	170	0	30	0	50	0	0.0764226
4	390	0	360	0	240	0	270	0	0.0765426
4	370	0	330	0	210	0	250	0	0.0765612
4	290	0	260	0	170	0	200	0	0.0765815
4	155	0	150	0	105	0	110	0	0.076747
4	155	0	150	0	105	0	110	0	0.0768754
4	65	0	60	0	15	0	20	0	0.0771706
4	300	0	260	0	140	0	180	0	0.0780549
4	160	0	140	0	0	0	20	0	0.0781172
4	340	0	320	0	240	0	260	0	0.0781522
4	90	0	85	0	40	0	45	0	0.0782399
4	160	0	140	0	0	0	20	0	0.0784903
4	220	0	190	0	40	0	70	0	0.0786376
4	220	0	190	0	40	0	70	0	0.0787442
4	195	0	190	0	145	0	150	0	0.0787511
4	300	0	260	0	140	0	180	0	0.0787713
4	90	0	85	0	40	0	45	0	0.0789002
4	105	0	100	0	55	0	60	0	0.078953
4	195	0	190	0	145	0	150	0	0.0790022
4	210	0	200	0	130	0	140	0	0.0790717
4	240	0	235	0	200	0	205	0	0.0791063
4	210	0	200	0	130	0	140	0	0.0793046
4	95	0	90	0	45	0	50	0	0.079375
4	170	0	150	0	10	0	30	0	0.0798721
4	180	0	160	0	20	0	40	0	0.0802098
4	100	0	95	0	50	0	55	0	0.0802682
